Scorer Model,Source Model,Score,SEM,Count
deepseek,deepseek,17.02777777777778,1.6941095406536415,360
deepseek,gemini,15.055555555555555,1.6060203030891158,360
deepseek,gpt,7.041666666666667,1.006303158156504,360
deepseek,qwen,9.347222222222221,1.1787463151343287,360
gemini,deepseek,22.666666666666668,1.8364959637706355,360
gemini,gemini,18.305555555555557,1.757101673143126,360
gemini,gpt,14.194444444444445,1.450238213735109,360
gemini,qwen,14.0,1.5276012109218913,360
gpt,deepseek,22.125,1.6422288580153563,360
gpt,gemini,12.472222222222221,1.3198884639525452,360
gpt,gpt,11.666666666666666,1.2108940145420362,360
gpt,qwen,14.51388888888889,1.2906645573719415,360
qwen,deepseek,22.375,1.1865084679324434,360
qwen,gemini,16.80167597765363,1.0557845391100904,358
qwen,gpt,17.25,0.8980338060484933,360
qwen,qwen,18.98611111111111,1.059966664374369,360
