Scorer Model,Source Model,Score,SEM,Count
deepseek,deepseek,15.541666666666666,1.6216515509529605,360
deepseek,gemini,16.65277777777778,1.6520753977797464,360
deepseek,gpt,9.833333333333334,1.2419346734871095,360
deepseek,qwen,7.902777777777778,1.0176468220039523,360
gemini,deepseek,19.72222222222222,1.7387437482873849,360
gemini,gemini,18.180555555555557,1.7001812852547504,360
gemini,gpt,13.0,1.4638954151317727,360
gemini,qwen,13.472222222222221,1.5112282791340486,360
gpt,deepseek,22.125,1.7283152108242796,360
gpt,gemini,14.48611111111111,1.3245121692541322,360
gpt,gpt,11.333333333333334,1.1241076794059421,360
gpt,qwen,13.63888888888889,1.2263960064434796,360
qwen,deepseek,22.77310924369748,1.3493571274804506,357
qwen,gemini,17.625,1.0826791646792022,360
qwen,gpt,16.694444444444443,0.8563054168648567,360
qwen,qwen,16.904761904761905,0.9375117867879657,357
