Scorer Model,Source Model,Score,SEM,Count
deepseek,deepseek,17.77777777777778,1.7129647056518418,360
deepseek,gemini,14.375,1.5260666467750539,360
deepseek,gpt,7.444444444444445,1.0109998884480833,360
deepseek,qwen,9.86111111111111,1.1544427107569957,360
gemini,deepseek,22.944444444444443,1.8400503456690491,360
gemini,gemini,18.77777777777778,1.7782129612821378,360
gemini,gpt,14.444444444444445,1.479481266030181,360
gemini,qwen,14.11111111111111,1.5465428432417652,360
gpt,deepseek,22.458333333333332,1.6814556830839094,360
gpt,gemini,11.86111111111111,1.250357595261751,360
gpt,gpt,10.083333333333334,1.051694995991236,360
gpt,qwen,16.208333333333332,1.3737473543422623,360
qwen,deepseek,22.055555555555557,1.2409651476764025,360
qwen,gemini,15.502793296089385,0.9698258795099103,358
qwen,gpt,16.944444444444443,0.8702984795946263,360
qwen,qwen,17.5,0.9844425860351778,360
