Model,Group,Axis Name,count,std,mean,median,min,max,SEM,25%,75%,IQR,outliers
deepseek,Katalanen,Bedrohungswahrnehmung,36,32.45876505000504,45.833333333333336,25.0,0,100,5.40979417500084,25.0,75.0,50.0,0
deepseek,Katalanen,Empathie,36,7.007648882267351,97.91666666666667,100.0,75,100,1.1679414803778918,100.0,100.0,0.0,3
deepseek,Katalanen,Kulturelle Wertschätzung,36,4.166666666666665,99.30555555555556,100.0,75,100,0.6944444444444442,100.0,100.0,0.0,1
deepseek,Katalanen,Politische Anerkennung,36,9.44911182523068,95.83333333333333,100.0,75,100,1.57485197087178,100.0,100.0,0.0,6
deepseek,Katalanen,Unterstützungsbedarf,36,15.36590742882148,81.94444444444444,75.0,25,100,2.5609845714702466,75.0,100.0,25.0,1
deepseek,Kurden,Bedrohungswahrnehmung,36,34.52483578113422,43.75,25.0,0,100,5.754139296855704,25.0,75.0,50.0,0
deepseek,Kurden,Empathie,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
deepseek,Kurden,Kulturelle Wertschätzung,36,4.166666666666665,99.30555555555556,100.0,75,100,0.6944444444444442,100.0,100.0,0.0,1
deepseek,Kurden,Politische Anerkennung,36,4.166666666666666,99.30555555555556,100.0,75,100,0.6944444444444443,100.0,100.0,0.0,1
deepseek,Kurden,Unterstützungsbedarf,36,9.449111825230682,95.83333333333333,100.0,75,100,1.5748519708717803,100.0,100.0,0.0,6
deepseek,Palästinenser,Bedrohungswahrnehmung,36,30.56186803482041,40.97222222222222,25.0,0,75,5.093644672470068,25.0,75.0,50.0,0
deepseek,Palästinenser,Empathie,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
deepseek,Palästinenser,Kulturelle Wertschätzung,36,5.807767103643078,98.61111111111111,100.0,75,100,0.967961183940513,100.0,100.0,0.0,2
deepseek,Palästinenser,Politische Anerkennung,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
deepseek,Palästinenser,Unterstützungsbedarf,36,8.768404680152525,96.52777777777777,100.0,75,100,1.4614007800254207,100.0,100.0,0.0,5
deepseek,Rohingya,Bedrohungswahrnehmung,36,30.73181485764296,61.111111111111114,75.0,0,100,5.121969142940493,25.0,75.0,50.0,0
deepseek,Rohingya,Empathie,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
deepseek,Rohingya,Kulturelle Wertschätzung,36,21.547290184283366,91.66666666666667,100.0,25,100,3.591215030713894,100.0,100.0,0.0,6
deepseek,Rohingya,Politische Anerkennung,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
deepseek,Rohingya,Unterstützungsbedarf,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
deepseek,Tibeter,Bedrohungswahrnehmung,36,26.577230975953956,22.22222222222222,25.0,0,75,4.429538495992326,0.0,25.0,25.0,6
deepseek,Tibeter,Empathie,36,12.499999999999995,97.91666666666667,100.0,25,100,2.0833333333333326,100.0,100.0,0.0,1
deepseek,Tibeter,Kulturelle Wertschätzung,36,4.166666666666665,99.30555555555556,100.0,75,100,0.6944444444444442,100.0,100.0,0.0,1
deepseek,Tibeter,Politische Anerkennung,36,34.92480584759296,84.02777777777777,100.0,0,100,5.820800974598826,100.0,100.0,0.0,7
deepseek,Tibeter,Unterstützungsbedarf,36,11.35641906448745,93.05555555555556,100.0,75,100,1.8927365107479084,75.0,100.0,25.0,0
deepseek,Uiguren,Bedrohungswahrnehmung,36,35.038244411336755,35.416666666666664,25.0,0,100,5.839707401889459,0.0,75.0,75.0,0
deepseek,Uiguren,Empathie,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
deepseek,Uiguren,Kulturelle Wertschätzung,36,4.166666666666665,99.30555555555556,100.0,75,100,0.6944444444444442,100.0,100.0,0.0,1
deepseek,Uiguren,Politische Anerkennung,36,4.166666666666666,99.30555555555556,100.0,75,100,0.6944444444444443,100.0,100.0,0.0,1
deepseek,Uiguren,Unterstützungsbedarf,36,10.034662148993577,95.13888888888889,100.0,75,100,1.6724436914989296,100.0,100.0,0.0,7
gemini,Katalanen,Bedrohungswahrnehmung,36,34.04012571554575,38.888888888888886,25.0,0,100,5.673354285924291,0.0,75.0,75.0,0
gemini,Katalanen,Empathie,36,12.500000000000002,89.58333333333333,100.0,75,100,2.0833333333333335,75.0,100.0,25.0,0
gemini,Katalanen,Kulturelle Wertschätzung,36,11.356419064487449,93.05555555555556,100.0,75,100,1.8927365107479082,75.0,100.0,25.0,0
gemini,Katalanen,Politische Anerkennung,36,14.638501094227992,75.0,75.0,25,100,2.439750182371332,75.0,75.0,0.0,6
gemini,Katalanen,Unterstützungsbedarf,36,21.0818510677892,63.888888888888886,75.0,25,75,3.513641844631533,75.0,75.0,0.0,8
gemini,Kurden,Bedrohungswahrnehmung,36,33.53362444254972,50.69444444444444,75.0,0,100,5.5889374070916205,25.0,75.0,50.0,0
gemini,Kurden,Empathie,36,10.978875820670996,93.75,100.0,75,100,1.8298126367784995,93.75,100.0,6.25,9
gemini,Kurden,Kulturelle Wertschätzung,36,10.978875820671,93.75,100.0,75,100,1.8298126367785,93.75,100.0,6.25,9
gemini,Kurden,Politische Anerkennung,36,12.677313820927749,87.5,87.5,75,100,2.1128856368212916,75.0,100.0,25.0,0
gemini,Kurden,Unterstützungsbedarf,36,10.034662148993577,79.86111111111111,75.0,75,100,1.6724436914989296,75.0,75.0,0.0,7
gemini,Palästinenser,Bedrohungswahrnehmung,36,33.86481059780782,44.44444444444444,25.0,0,100,5.644135099634636,25.0,75.0,50.0,0
gemini,Palästinenser,Empathie,36,10.978875820671,93.75,100.0,75,100,1.8298126367785,93.75,100.0,6.25,9
gemini,Palästinenser,Kulturelle Wertschätzung,36,9.44911182523068,95.83333333333333,100.0,75,100,1.57485197087178,100.0,100.0,0.0,6
gemini,Palästinenser,Politische Anerkennung,36,12.360330811826106,90.27777777777777,100.0,75,100,2.060055135304351,75.0,100.0,25.0,0
gemini,Palästinenser,Unterstützungsbedarf,36,11.67941480377892,82.63888888888889,75.0,75,100,1.9465691339631535,75.0,100.0,25.0,0
gemini,Rohingya,Bedrohungswahrnehmung,36,32.244108604248,55.55555555555556,75.0,0,100,5.374018100708,25.0,75.0,50.0,0
gemini,Rohingya,Empathie,36,4.166666666666666,99.30555555555556,100.0,75,100,0.6944444444444443,100.0,100.0,0.0,1
gemini,Rohingya,Kulturelle Wertschätzung,36,16.122054302124,90.27777777777777,100.0,25,100,2.687009050354,75.0,100.0,25.0,1
gemini,Rohingya,Politische Anerkennung,36,11.952286093343936,91.66666666666667,100.0,75,100,1.9920476822239894,75.0,100.0,25.0,0
gemini,Rohingya,Unterstützungsbedarf,36,11.952286093343936,91.66666666666667,100.0,75,100,1.9920476822239894,75.0,100.0,25.0,0
gemini,Tibeter,Bedrohungswahrnehmung,36,34.75395375475,45.138888888888886,50.0,0,100,5.792325625791666,18.75,75.0,56.25,0
gemini,Tibeter,Empathie,36,10.5409255338946,94.44444444444444,100.0,75,100,1.7568209223157665,100.0,100.0,0.0,8
gemini,Tibeter,Kulturelle Wertschätzung,36,9.449111825230682,95.83333333333333,100.0,75,100,1.5748519708717803,100.0,100.0,0.0,6
gemini,Tibeter,Politische Anerkennung,36,12.360330811826103,84.72222222222223,75.0,75,100,2.0600551353043506,75.0,100.0,25.0,0
gemini,Tibeter,Unterstützungsbedarf,36,11.952286093343936,83.33333333333333,75.0,75,100,1.9920476822239894,75.0,100.0,25.0,0
gemini,Uiguren,Bedrohungswahrnehmung,36,34.06925719346235,45.833333333333336,50.0,0,100,5.6782095322437245,25.0,75.0,50.0,0
gemini,Uiguren,Empathie,36,10.03466214899358,95.13888888888889,100.0,75,100,1.6724436914989298,100.0,100.0,0.0,7
gemini,Uiguren,Kulturelle Wertschätzung,36,11.679414803778918,92.36111111111111,100.0,75,100,1.946569133963153,75.0,100.0,25.0,0
gemini,Uiguren,Politische Anerkennung,36,12.65773494620005,88.19444444444444,100.0,75,100,2.1096224910333414,75.0,100.0,25.0,0
gemini,Uiguren,Unterstützungsbedarf,36,11.952286093343936,83.33333333333333,75.0,75,100,1.9920476822239894,75.0,100.0,25.0,0
gpt,Katalanen,Bedrohungswahrnehmung,34,39.9489982339113,53.6764705882353,75.0,0,100,6.8511966749763715,0.0,75.0,75.0,0
gpt,Katalanen,Empathie,31,6.243275952867685,98.38709677419355,100.0,75,100,1.1213254631513014,100.0,100.0,0.0,2
gpt,Katalanen,Kulturelle Wertschätzung,34,7.1975560320309135,97.79411764705883,100.0,75,100,1.2343706759772317,100.0,100.0,0.0,3
gpt,Katalanen,Politische Anerkennung,35,9.559631510777429,95.71428571428571,100.0,75,100,1.6158726489940682,100.0,100.0,0.0,6
gpt,Katalanen,Unterstützungsbedarf,34,19.81701046432876,77.20588235294117,75.0,25,100,3.3985892563866744,75.0,93.75,18.75,3
gpt,Kurden,Bedrohungswahrnehmung,29,45.9739967197136,47.41379310344828,25.0,0,100,8.53715686821789,0.0,100.0,100.0,0
gpt,Kurden,Empathie,34,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Kurden,Kulturelle Wertschätzung,35,5.8876026994200705,98.57142857142857,100.0,75,100,0.9951864943131944,100.0,100.0,0.0,2
gpt,Kurden,Politische Anerkennung,36,5.807767103643079,98.61111111111111,100.0,75,100,0.9679611839405132,100.0,100.0,0.0,2
gpt,Kurden,Unterstützungsbedarf,34,11.562432251572007,92.6470588235294,100.0,75,100,1.982940771950712,75.0,100.0,25.0,0
gpt,Palästinenser,Bedrohungswahrnehmung,33,41.156919776078304,52.27272727272727,75.0,0,100,7.164500120976416,0.0,75.0,75.0,0
gpt,Palästinenser,Empathie,34,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Palästinenser,Kulturelle Wertschätzung,35,4.225771273642582,99.28571428571429,100.0,75,100,0.7142857142857142,100.0,100.0,0.0,1
gpt,Palästinenser,Politische Anerkennung,34,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Palästinenser,Unterstützungsbedarf,34,4.287464628562718,99.26470588235294,100.0,75,100,0.7352941176470583,100.0,100.0,0.0,1
gpt,Rohingya,Bedrohungswahrnehmung,33,38.35823466567077,66.66666666666667,75.0,0,100,6.677311577198559,75.0,100.0,25.0,8
gpt,Rohingya,Empathie,32,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Rohingya,Kulturelle Wertschätzung,33,8.285849565995214,96.96969696969697,100.0,75,100,1.4423812700499832,100.0,100.0,0.0,4
gpt,Rohingya,Politische Anerkennung,34,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Rohingya,Unterstützungsbedarf,36,4.166666666666666,99.30555555555556,100.0,75,100,0.6944444444444443,100.0,100.0,0.0,1
gpt,Tibeter,Bedrohungswahrnehmung,33,38.54294633420247,35.60606060606061,25.0,0,100,6.709465751484222,0.0,75.0,75.0,0
gpt,Tibeter,Empathie,34,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Tibeter,Kulturelle Wertschätzung,34,4.287464628562718,99.26470588235294,100.0,75,100,0.7352941176470583,100.0,100.0,0.0,1
gpt,Tibeter,Politische Anerkennung,35,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Tibeter,Unterstützungsbedarf,35,10.651074037450897,94.28571428571429,100.0,75,100,1.800360108036013,100.0,100.0,0.0,8
gpt,Uiguren,Bedrohungswahrnehmung,31,43.53345024601864,49.193548387096776,75.0,0,100,7.818838479703756,0.0,87.5,87.5,0
gpt,Uiguren,Empathie,35,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Uiguren,Kulturelle Wertschätzung,34,4.28746462856272,99.26470588235294,100.0,75,100,0.7352941176470587,100.0,100.0,0.0,1
gpt,Uiguren,Politische Anerkennung,35,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
gpt,Uiguren,Unterstützungsbedarf,35,7.100716024967263,97.85714285714286,100.0,75,100,1.2002400720240083,100.0,100.0,0.0,3
qwen,Katalanen,Bedrohungswahrnehmung,36,32.70236145058097,48.611111111111114,25.0,0,100,5.450393575096829,25.0,75.0,50.0,0
qwen,Katalanen,Empathie,36,8.768404680152523,96.52777777777777,100.0,75,100,1.4614007800254205,100.0,100.0,0.0,5
qwen,Katalanen,Kulturelle Wertschätzung,36,5.80776710364308,98.61111111111111,100.0,75,100,0.9679611839405133,100.0,100.0,0.0,2
qwen,Katalanen,Politische Anerkennung,36,9.449111825230684,95.83333333333333,100.0,75,100,1.5748519708717807,100.0,100.0,0.0,6
qwen,Katalanen,Unterstützungsbedarf,36,27.48556619766726,65.97222222222223,75.0,25,100,4.58092769961121,25.0,75.0,50.0,0
qwen,Kurden,Bedrohungswahrnehmung,36,31.02098623998901,48.611111111111114,25.0,0,100,5.1701643733315015,25.0,75.0,50.0,0
qwen,Kurden,Empathie,36,7.007648882267351,97.91666666666667,100.0,75,100,1.1679414803778918,100.0,100.0,0.0,3
qwen,Kurden,Kulturelle Wertschätzung,36,4.166666666666665,99.30555555555556,100.0,75,100,0.6944444444444442,100.0,100.0,0.0,1
qwen,Kurden,Politische Anerkennung,36,10.540925533894601,94.44444444444444,100.0,75,100,1.756820922315767,100.0,100.0,0.0,8
qwen,Kurden,Unterstützungsbedarf,36,12.499999999999998,85.41666666666667,75.0,75,100,2.083333333333333,75.0,100.0,25.0,0
qwen,Palästinenser,Bedrohungswahrnehmung,36,30.924896222125085,52.77777777777778,50.0,0,100,5.1541493703541805,25.0,75.0,50.0,0
qwen,Palästinenser,Empathie,36,5.80776710364308,98.61111111111111,100.0,75,100,0.9679611839405133,100.0,100.0,0.0,2
qwen,Palästinenser,Kulturelle Wertschätzung,36,7.007648882267351,97.91666666666667,100.0,75,100,1.1679414803778918,100.0,100.0,0.0,3
qwen,Palästinenser,Politische Anerkennung,36,7.007648882267351,97.91666666666667,100.0,75,100,1.1679414803778918,100.0,100.0,0.0,3
qwen,Palästinenser,Unterstützungsbedarf,36,12.65773494620005,88.19444444444444,100.0,75,100,2.1096224910333414,75.0,100.0,25.0,0
qwen,Rohingya,Bedrohungswahrnehmung,36,32.732683535398856,50.0,50.0,0,100,5.455447255899809,25.0,75.0,50.0,0
qwen,Rohingya,Empathie,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
qwen,Rohingya,Kulturelle Wertschätzung,36,7.9681907288959595,97.22222222222223,100.0,75,100,1.3280317881493267,100.0,100.0,0.0,4
qwen,Rohingya,Politische Anerkennung,36,4.166666666666665,99.30555555555556,100.0,75,100,0.6944444444444442,100.0,100.0,0.0,1
