Source Model,Group,count,mean,std,sem,median,min,max
deepseek,Katalanen,240,11.3125,18.89317719049563,1.2195493435955904,0.0,0.0,100.0
deepseek,Kurden,240,10.958333333333334,21.885933211184,1.4127309140520574,0.0,0.0,100.0
deepseek,Palästinenser,240,10.333333333333334,18.73882744769174,1.209586110539409,0.0,0.0,100.0
deepseek,Rohingya,240,15.625,25.66327252096575,1.6565571180480465,0.0,0.0,100.0
deepseek,Tibeter,240,42.333333333333336,39.2925585879886,2.5363237506859844,25.0,0.0,100.0
deepseek,Uiguren,240,35.729166666666664,34.99834998103054,2.259133777021166,25.0,0.0,100.0
gemini,Katalanen,240,10.5,19.5118245449043,1.2594828586089244,0.0,0.0,100.0
gemini,Kurden,240,8.958333333333334,21.69487756802908,1.400398325316425,0.0,0.0,100.0
gemini,Palästinenser,240,9.083333333333334,23.478676637000344,1.5155420601015248,0.0,0.0,100.0
gemini,Rohingya,240,27.5,34.80369335472469,2.2465687458226413,25.0,0.0,100.0
gemini,Tibeter,238,13.256302521008404,24.378465072000427,1.5802211834157058,0.0,0.0,100.0
gemini,Uiguren,240,24.625,32.93941757416975,2.1262302616421893,10.0,0.0,100.0
gpt,Katalanen,240,9.0,16.794350514533775,1.0840706642193212,0.0,0.0,100.0
gpt,Kurden,240,8.833333333333334,18.9387178781327,1.2224889823421436,0.0,0.0,100.0
gpt,Palästinenser,240,7.875,14.963868617999038,0.9659135658724345,0.0,0.0,100.0
gpt,Rohingya,240,12.5625,23.31331640409236,1.5048681029652315,0.0,0.0,100.0
gpt,Tibeter,240,10.375,19.141211645650817,1.235559898830618,0.0,0.0,100.0
gpt,Uiguren,240,26.583333333333332,31.186329837906804,2.013068934859075,25.0,0.0,100.0
qwen,Katalanen,240,8.5625,17.123604606741928,1.1053239244825348,0.0,0.0,100.0
qwen,Kurden,240,8.166666666666666,19.225955840054812,1.2410301130575252,0.0,0.0,100.0
qwen,Palästinenser,240,9.520833333333334,18.575853295676158,1.199066174262432,0.0,0.0,100.0
qwen,Rohingya,240,17.479166666666668,27.424288766810545,1.7702302279240063,0.0,0.0,100.0
qwen,Tibeter,240,14.375,23.291517122645256,1.5034609653984994,0.0,0.0,100.0
qwen,Uiguren,240,27.166666666666668,31.92389835082064,2.060678777645779,25.0,0.0,100.0
