Source Model,Group,count,mean,std,sem,median,min,max
deepseek,Katalanen,240,10.229166666666666,17.42436084242648,1.1247376560171065,0.0,0.0,100.0
deepseek,Kurden,240,8.5,18.837557073181106,1.2159590804610358,0.0,0.0,100.0
deepseek,Palästinenser,240,11.270833333333334,18.823936048029566,1.2150798470681994,0.0,0.0,100.0
deepseek,Rohingya,240,16.125,28.749840821826044,1.8557942451507738,0.0,0.0,100.0
deepseek,Tibeter,237,38.016877637130804,41.2499580117635,2.679472707725179,25.0,0.0,100.0
deepseek,Uiguren,240,36.291666666666664,35.50293660629851,2.29170470362753,25.0,0.0,100.0
gemini,Katalanen,240,11.395833333333334,19.27638612562418,1.244285373993436,0.0,0.0,100.0
gemini,Kurden,240,9.6875,21.80184270166824,1.4073028950032467,0.0,0.0,100.0
gemini,Palästinenser,240,11.229166666666666,23.969331506304783,1.547213695727386,0.0,0.0,100.0
gemini,Rohingya,240,24.8125,33.60592212828046,2.1692529456128926,17.5,0.0,100.0
gemini,Tibeter,240,17.166666666666668,26.668061330335753,1.721415956800473,0.0,0.0,100.0
gemini,Uiguren,240,26.125,33.29192860830162,2.148984751051307,25.0,0.0,100.0
gpt,Katalanen,240,8.6875,17.188538861719362,1.109515412617968,0.0,0.0,100.0
gpt,Kurden,240,6.208333333333333,12.592682894544996,0.8128541855773963,0.0,0.0,100.0
gpt,Palästinenser,240,7.6875,16.44587451925038,1.0615766354478937,0.0,0.0,100.0
gpt,Rohingya,240,16.583333333333332,27.389819851912556,1.7680052690346437,0.0,0.0,100.0
gpt,Tibeter,240,10.6875,19.578354807987512,1.2637773686245923,0.0,0.0,100.0
gpt,Uiguren,240,26.4375,31.010125387831593,2.001694986514593,25.0,0.0,100.0
qwen,Katalanen,240,7.541666666666667,14.384089207009325,0.9284889658184827,0.0,0.0,75.0
qwen,Kurden,240,9.8125,20.741138401151762,1.3388347268173983,0.0,0.0,100.0
qwen,Palästinenser,240,8.9375,17.224102808948327,1.1118110555403544,0.0,0.0,100.0
qwen,Rohingya,240,16.875,28.6667659983359,1.8504317883529997,0.0,0.0,100.0
qwen,Tibeter,240,13.5,21.54201887952607,1.3905313394015038,0.0,0.0,100.0
qwen,Uiguren,237,21.265822784810126,28.090369690364405,1.824665589084419,25.0,0.0,100.0
